
real	0m0.931s
user	0m1.177s
sys	0m0.115s

real	0m0.850s
user	0m1.071s
sys	0m0.110s

real	0m0.910s
user	0m1.178s
sys	0m0.112s

real	0m0.853s
user	0m1.108s
sys	0m0.111s

real	0m0.889s
user	0m1.121s
sys	0m0.107s

real	0m0.875s
user	0m1.112s
sys	0m0.114s

real	0m0.931s
user	0m1.173s
sys	0m0.122s

real	0m0.869s
user	0m1.135s
sys	0m0.111s

real	0m0.937s
user	0m1.198s
sys	0m0.123s
